track_id,Title,Album,Contributing artists,MFCC,Spectral Centroid,Zero Crossing Rate
000623,Viridian City,Ed Askew,The Cup Bearer (Jony Mede),"[-306.95953     163.52267      13.062341      5.094023     12.324376
   -3.8852441   -10.642237     -5.393508     -0.67493695   -7.275104
   -5.7628026    -1.0562948    -8.309908  ]",1091.0356454669968,0.02490101998208753
000655,Spree: An Escape From Reality,Ethan Persoff,Side Three - Part Five / Stop,"[-143.28902     167.27673     -47.41007      38.364376    -11.675572
   18.54424      -7.688781      4.393808     -2.939715      4.8109093
   -4.605997     -0.53778356   -1.7096946 ]",2297.1622020476257,0.058265458776595745
000739,Love Love Love,Glass Candy,Hurt,"[-79.29566    197.49506    -78.074615    30.711742    13.863674
   9.442897     4.862032    17.517582     6.9014044   -1.9060769
  -2.6345325   -1.4526112   -0.38465968]",1989.4102336502801,0.060006399472308285
000742,The Sick Sound of...,Glass Candy,B-Girls,"[-38.884438   121.2965     -17.003294    29.584349     0.33524397
  10.6511135    0.59383494  10.746981    -2.8270953    7.1631875
   1.4026619    7.645401    -4.120933  ]",3576.981993856382,0.05670662428592177
000750,Iko,Glass Candy,Iko! Iko! (vocal/conga mix),"[-222.93713     80.7302     -23.287909    -3.588776   -24.004683
    2.3462641   -8.2191725   -1.8802341  -16.875237    -2.5889306
  -14.161317    -5.41259     -7.7302117]",4850.728890422456,0.10197484737669246
000753,The Sick Sound of...,Glass Candy,track 5,"[-204.98601    161.39879    -39.80132     19.051073     7.3846045
    8.634643    -1.6096067   -3.5609438   -0.62128     -1.2492077
    1.8412161   -1.6705233    4.2826114]",1746.0422767948285,0.04516176559477756
000756,Iko,Glass Candy,Sugar &amp; Whitebread (instrumental),"[-198.44577    131.66623     -3.6643367    7.508982     4.582389
   15.849797    -1.7111984    3.0574334   -6.5581837    2.0036173
   -1.6466205    4.282895     2.0040443]",3177.324219144967,0.07447953227875678
000767,Live at Death Disco 9/26/2001,Glass Candy,Love On a Plate,"[-39.167675   108.315834   -95.32094     45.585487     5.9662566
  19.487307    10.641118    17.132755     0.30015564   9.221992
  -2.2605262    3.5502734   -3.778221  ]",3604.143337287253,0.12738039470502902
000776,"Demos 31, 37",Glass Candy,Hurt,"[-69.64693   107.423965  -56.476665   44.427532    7.105251   19.851229
  -2.4164162  20.941261   -1.3251909   2.850686   -8.65495     5.841059
  -0.5040862]",4026.6477561475454,0.12012966874031758
000824,Here Comes A Big Black Cloud!!,Here Comes A Big Black Cloud!!,Black Mold,"[-5.70381279e+01  1.92003815e+02 -5.76087151e+01  4.73614044e+01
  2.14627194e+00  2.24402447e+01 -1.04745865e+01  7.21898890e+00
  3.59978890e+00  1.32732868e+01  6.34720981e-01  6.94854707e-02
 -2.45969325e-01]",1857.7642934979447,0.0438521896155706
000852,Exploding Demon,Human Host,Escape From the Organ Chamber,"[-93.087296  146.13802    -7.486533   38.02197   -14.470314   10.813494
 -10.198154   -1.3825296  -8.933438   -1.3463178  -7.2659874  -2.63392
  -4.570869 ]",2862.8675368724535,0.05508822345807514
000879,unreleased Illusion of Safety mp3s,Illusion of Safety,Cancer Trk 5,"[-213.7742     188.9335     -35.34042     31.959793     8.181207
   18.320564     8.023772     4.8631015    9.209599     6.296278
    5.6361113    4.9041295    3.914009 ]",1546.4533192368697,0.030168859834914796
000883,unreleased Illusion of Safety mp3s,Illusion of Safety,Immerse (exc),"[-295.26978    228.14742     24.332397     5.22679     40.15179
   13.677509    -4.861834     4.3359647    5.9709854    5.763117
    8.300079     4.3947334   -1.0859833]",551.0340925154969,0.010429021833849729
000916,mp3,Jad Fair,Handle Them Snakes,"[-30.727287  170.70262   -44.802032   34.273315    7.951614   10.699271
 -16.24353    12.601961   -4.5763717   1.4655836  -8.807067   -2.5407298
  -1.9311208]",2168.5781377947865,0.049770309477756285
000937,mp3,Jad Fair,Not No,"[-163.7413     162.65271    -72.13356     66.68878    -25.157742
   14.049145    -4.187345   -10.605493    11.656661   -21.54601
    5.4886417   -6.681014    -2.8949194]",2775.840494472242,0.07202224081380712
000945,mp3,Jad Fair,Stand Up For The Good,"[-162.52827    186.4453     -40.806026    20.051147   -23.557087
    3.5579293  -14.612383     3.7900662   -4.429599    -9.814383
   -3.3794289   -2.8261676   -3.2038157]",1921.3827881244076,0.048793328814872194
000977,mp3,Jad Fair,the two of us,"[-171.73994    183.09746    -23.825655    24.87034    -17.424969
    9.000751   -15.453713     2.4714334   -2.9988961   -8.154479
   -2.9375424   -5.077018    -0.6317793]",1826.7270698119755,0.03987226774302866
001111,Fidicin Drones,Michael J. Schumacher,Fidicin Drone,"[-234.07812    241.14363    -40.914227     2.0417717   38.580776
  -10.726519    10.890924    25.759407     6.330752    15.429486
   17.47588     -2.1131866   -6.319034 ]",805.8978206448667,0.020019010694296374
001164,Dead And/Or Famous,Mors Ontologica,Lapse/Relapse,"[-34.724247  123.15683   -49.81509    45.88595     2.076231   18.125074
  -1.894265   12.379363   -5.622635    7.7034726   4.257639    7.37984
  -1.113376 ]",3331.195147489759,0.08480453638781431
001177,Dead And/Or Famous,Mors Ontologica,Queen Bee,"[-18.060694  149.04239   -51.33554    49.350006  -19.862953   21.350348
  -3.9406164  14.268306   -7.4138145   9.933277   -1.1996113  -3.003978
  -3.6357493]",2871.136102380994,0.07437836224613152
001189,Don't Cry,Mors Ontologica,Dispatcher,"[-1.2666150e+02  1.5477554e+02 -7.1161072e+01  7.1351959e+01
 -1.3580841e+01  1.8977215e+01 -8.3074274e+00  2.6799436e+00
  3.7967542e-01 -2.8780384e+00  5.8508244e+00 -1.2034941e-03
  3.5037508e+00]",2987.260770461007,0.09255539401384585
001218,Half Ice Half Wasted (Mudboy Beats II),Mudboy,Half Ice Track 2,"[-306.43698    179.71185     -6.336732    23.811525     6.3055067
   20.263756     3.5702596   17.877468    14.402434    -2.6726453
    2.4452894   10.512746    15.122957 ]",1581.9496795160044,0.043901439049186676
001221,Half Ice Half Wasted (Mudboy Beats II),Mudboy,Half Wasted Track 3,"[-1.88030533e+02  1.20791466e+02 -7.15403175e+00  6.97600250e+01
  1.67187694e-02  4.42079773e+01  2.46972809e+01  2.61003571e+01
  9.10638809e+00  1.86831608e+01 -5.50966680e-01  1.32672815e+01
  7.81425762e+00]",2248.887820730782,0.024732342541102514
001269,Rejerks Vol. 4,Nautical Almanac,Rejerks 09,"[-1.0875155e+02  1.4982983e+02 -5.6745266e+01  1.8531485e+01
 -6.0869179e+00  5.3762585e-01 -1.2178664e+01  2.0035906e+00
 -4.5422893e+00 -7.0151895e-02 -6.6229177e+00 -2.0460238e+00
 -7.0766101e+00]",2588.0734491573867,0.06719086615269171
001288,IV: White Walls,Newagehillbilly,k011,"[-145.46107    198.4487     -22.859985    35.290806    18.513657
    2.9365466    6.717919    10.117767    -1.6359261    2.1254077
    7.1114445   -2.473712    -2.3814437]",1396.9316190251238,0.031830837463733073
001318,Realistic Psychosis,Nicky Andrews,Stag Beetles,"[-223.15027    168.11674    -44.035843    51.032677    12.052795
    9.326935    -4.5512996    1.9858334    3.7157083    5.3616266
    3.2112362    6.902908    -1.3789284]",2135.6018920383067,0.06652917130615801
001321,Blissful Lethargy,Nicky Andrews,Placidity,"[-1.6705049e+02  1.7910233e+02 -1.2985892e+01  3.1230545e+01
 -6.6617236e+00  1.3204113e-01 -3.6603844e+00  8.9643103e-01
 -2.9630272e+00  1.3139336e+00 -7.1300834e-01 -1.2149230e+00
  3.0751534e+00]",1685.5109896239278,0.04441827586415569
001367,On Safari,Olneyville Sound System,Oh That Time,"[-130.70573    186.64703    -66.20319     45.60954     -6.7730618
    9.263947    16.545149     4.621977    16.763285     1.8512021
    6.445946     4.819454     6.8358717]",1917.2105500982473,0.037917258522727273
001376,On Safari,Olneyville Sound System,OSS Ass,"[-1131.371     0.        0.        0.        0.        0.        0.
     0.        0.        0.        0.        0.        0.   ]",0.0,0.0
001434,Taitsu [Tights],Pleasurehorse,Tighter [3 Maneuvers],"[-16.87103    63.108105    2.3148928  27.51438    -2.6045408  19.017822
  -3.4329088  16.800652   -4.650918   14.3388815  -5.7792926  13.846059
  -5.8661985]",6893.904181124538,0.1362189464458414
001495,There Were One and It Was Two: Annotated Notes from the Doubles Museum,Ric Royer,Introduction to the Museum,"[-397.22266    105.72589     -9.279731    23.410345     1.2376851
   10.549678     5.2128196    3.4720662   -1.5624893   -1.8372877
   -1.4295521   -4.171914    -0.9449601]",2271.9519480623017,0.05357153650870406
001500,There Were One and It Was Two: Annotated Notes from the Doubles Museum,Ric Royer,The Twins,"[-2.0797076e+02  9.6615273e+01  3.2890198e+00  2.5750200e+01
  1.3787365e-01  1.2055735e+01 -2.4817348e+00  6.9743853e+00
 -7.2219543e+00  3.2057498e-02 -5.9212494e+00 -2.5152130e+00
 -6.2536430e+00]",4431.260606623314,0.06962470801462045
001534,Attack of the Has-Been Androids,RoMak and the Space Pirates,Retirement Song,"[-1.9294092e+01  1.1903488e+02 -3.5425537e+01  4.1651108e+01
 -1.9276653e+01  2.7171213e+01  1.7265266e-02  1.4014526e+01
 -5.5880237e+00  3.1220038e+00  2.9064417e+00  7.1137686e+00
 -5.8900464e-01]",3622.3116861413596,0.08910092709140201
001541,The Fleeting Skies,Samara Lubelski,The fleeting Skies,"[-1.5386043e+02  1.3889018e+02  1.0421671e+01  2.8001223e+01
  8.2193642e+00  2.9363127e+01 -1.3892694e+01  4.1221647e+00
 -1.1536322e+01  5.8804937e-02 -2.0435092e+00  2.2016678e+00
 -7.7874980e+00]",2927.292265454759,0.05190607450619675
001555,The Hooded Ones,Saudade,Soaked,"[-264.14316    215.3421      26.609531     6.4063544   22.402441
   13.696795    12.197943     5.273759    -0.5248125    2.7609732
    2.8843768    3.1245637    3.7922804]",592.331000561765,0.009983668486154144
001572,Katabasis.1,Shawn Greenlee,Henosis,"[ 19.688658  -10.66043    -9.924404   17.974712   -5.4118958  14.57087
  -9.462576   18.244743   -9.68522    12.997743  -10.230961   13.205361
 -10.471785 ]",10355.383239493436,0.46846062016441004
001573,Katabasis.2,Shawn Greenlee,Wryneck,"[-77.604324   99.50804     3.2174497   7.6614156   6.1428185  21.105425
  -2.7501605  12.614108   -3.0348413  11.878568   -7.562077   12.911619
  -9.94503  ]",5229.41366997816,0.06825095200676982
001601,Ice Machine,Six Star General,When Buddy Comes Back,"[-141.1173      164.14296     -40.096992     39.047394     10.1340275
   22.323982    -11.663828     12.682473     -0.84834594    2.2346847
    2.0909653    -1.8139285     2.907703  ]",2277.3903640044796,0.043495231409759874
001609,Live 7/19/07,Six Star General,SSG Live,"[-194.16609    197.70076    -37.50055     12.561163    -4.694074
   13.168199   -13.446712    -1.9772078   -2.9974391    1.6590953
    4.527666    -1.5415735   -1.2029808]",1884.5491979708636,0.041842790835592565
001622,Thee Haunted Cobblestone Sunset Concert Series #6,Skraelings,Track 03,"[-279.02884     197.47966     -20.977203     16.006317      7.6891837
   10.0464      -23.28876      -5.6990767    -8.476077    -10.7258215
   -9.435173    -12.886992      0.94626015]",1364.8290322842613,0.02782957282387684
001625,Thee Haunted Cobblestone Sunset Concert Series #6,Skraelings,Track 06,"[-206.04855    210.9176     -24.922834   -15.095904    15.819027
   18.576206   -17.817219   -28.778557   -12.561279    -4.5560846
   -5.5237875  -15.529307    -6.3264537]",1114.1857084718195,0.0226445630204299
001627,Thee Haunted Cobblestone Sunset Concert Series #6,Skraelings,Track 08,"[-2.2233826e+02  2.0410394e+02 -3.0652546e+01 -9.0636606e+00
  2.2004560e+01  2.8270046e+01 -9.4745836e+00 -1.9547140e+01
 -4.5219755e+00  1.6244316e-01 -5.2209544e+00 -2.0314341e+01
 -1.3860902e+01]",1239.5295822727837,0.023643818684643686
001628,Thee Haunted Cobblestone Sunset Concert Series #6,Skraelings,Track 09,"[-241.83777    202.62477    -27.11285    -18.967468    41.513004
   22.069122   -17.243595   -26.210348   -11.704552    -3.4217062
   -9.54635    -15.87513    -13.806386 ]",1248.6467317389615,0.03248628656914894
001637,Natural Snacks,Snacks,Yam Granules Over Reduced Yam Granules,"[-86.2058    157.11415   -64.31658    52.281654  -46.686584   31.41524
  -4.582593   11.154457   -2.5192811 -10.860052   12.87314    -2.3556876
   6.8031945]",3229.523125878997,0.10389327707445778
001649,Wackity Schmackity Doo,So Cow,Inis Meain,"[-50.11321    169.90138    -35.88539     40.795464   -23.06413
  27.464388    -6.441123    17.255539    -1.8001634    5.3311753
  -0.94229347   4.869687    -0.69604564]",2472.853809748569,0.05279914345883713
001659,Wackity Schmackity Doo,So Cow,Arse Above Tit,"[-20.94603    84.97314    -5.1266623  38.1878    -16.728605   40.773754
 -11.816238   24.202858  -15.588946   18.881369  -11.214044   13.523186
  -8.99167  ]",6325.18293404976,0.18050778471728307
001673,Thee Haunted Cobblestone Sunset Concert Series #10,Solemn Man,Track 07,"[-359.9842      189.15028       7.6470413     3.466314     -9.548344
    7.8139086    -2.2213583    -0.87124044    0.5655825    -4.672193
   -8.195125    -11.839983     -7.7644615 ]",1329.6396775944065,0.02496392196566731
001745,CordinRidin....,The Wire Orchestra,CottonBlessMe,"[-123.528625   184.81183    -35.280704    47.6754      11.08275
    4.935672     4.202956    14.115075    -8.3792925    4.881586
   -3.0667782   -1.8952316   -4.920852 ]",1869.5244556897221,0.032307596409574466
001757,CordinRidin....,The Wire Orchestra,Da Lights,"[-139.05965    160.30244    -11.41537     16.118801    -9.672793
   19.36935     -7.429601    18.496038    -9.419063     3.2113616
   -3.3586545    8.183143     2.3432395]",2039.3031932478914,0.038436895551257254
001820,The Hidden Woman,Glove Compartment,Singersongwriters,"[-83.481926   147.51985    -43.66692     50.948067   -13.931241
  34.47283     -4.446661    18.236189    -4.737032     5.964849
  -0.73511666   2.7156897    5.711864  ]",2780.445116538896,0.062119008401837525
001821,The Glove Compartment,Glove Compartment,The Diamond Heist,"[-142.7375     150.43619    -26.213934    41.91045    -11.222104
   13.95632    -16.213457    12.502778   -16.776566     6.546745
  -12.317809     5.3684773   -5.5425277]",2951.769873424973,0.0683132322327653
001895,Tommy Jay's Tall Tales Of Trauma,Tommy Jay,Village Idiot,"[-192.7794     170.13171    -63.854618    18.688526     5.211476
   31.441767    -1.9454211    5.4939957    6.60649    -12.483725
   -3.5627444    7.5975475   -6.7065296]",2170.5206834468772,0.062356843955751355
001900,Telemetric Action EP,Mors Ontologica,Sterling,"[-1.01692955e+02  1.69204849e+02 -3.83768272e+01  5.67743759e+01
  1.57681239e+00  2.30782986e+01  5.25496155e-02  1.11519432e+01
 -2.55423474e+00  4.18656969e+00  1.08557022e+00 -1.20647132e+00
 -2.06329799e+00]",2027.5757333435483,0.04332749110427963
001910,5025 AD,Trockeneis,Side A: Cut I,"[-280.71194    158.25656     -8.898604    27.727446    11.168251
    4.8724303    2.6630821   -2.0359545   -1.0003678   -4.6052146
   -4.8109074    1.4126447   -1.4180152]",1668.0071488118122,0.03472772741576297
001923,Sun Township,The Twin Atlas,Three Loves,"[-96.29472   150.47194   -34.790104   52.98654     2.347162   25.568289
 -22.611635   12.038746    7.0971866   3.0590415  -1.756047    3.3877566
   1.2348388]",2565.8268231514135,0.06178648909517816
001955,Von Hayes,Von Hayes,Dead Ray,"[-69.0742    179.8713    -70.28876    44.281025  -28.879608   -4.337352
 -13.276868   -3.3453617 -20.952467   -3.4266481 -12.912687   -2.0256104
  -5.302867 ]",2290.1808158655103,0.05737163019825919
002017,Untitled: Will You Please Sing On This?,Xiu Xiu,untitled:will you please sing on this,"[-1.9506439e+02  1.3095709e+02 -5.1965532e+00  4.5146526e+01
 -6.7464409e+00  2.5573057e+01 -2.4275860e-01  9.2678680e+00
 -3.6424844e+00  9.2498121e+00  1.3619661e-01  2.3778067e+00
  4.3372867e-01]",3267.52908161936,0.06880580853262802
